"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
10.110.10.35,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"2 days ago"
10.110.10.35,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"2 days ago"
10.110.10.35,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"2 days ago"
10.110.10.35,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"2 days ago"
10.110.10.35,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"2 days ago"
10.110.10.35,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"2 days ago"
10.110.10.35,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"2 days ago"
10.110.10.35,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"2 days ago"
10.110.10.35,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"2 days ago"
10.110.10.35,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"2 days ago"
10.110.10.35,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"2 days ago"
10.110.10.35,"86882","86882","5","Vuln","Red Hat JBoss Application Server Web Console and JMX Management Console Authentication Bypass Vulnerability","tcp/8080",,"2 days ago"
10.110.10.35,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"2 days ago"
10.110.10.35,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"2 days ago"
10.110.10.35,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"2 days ago"
10.110.10.35,"100302","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"2 days ago"
10.110.10.35,"91333","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"2 days ago"
10.110.10.72,"91344","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.10.72,"91344","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.72,"91344","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.72,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.72,"91344","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.72,"91344","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.72,"91344","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.72,"91340","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.10.72,"91340","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.72,"91340","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.72,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.72,"91340","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.72,"91340","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.72,"91340","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.72,"370297","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.10.72,"370297","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.72,"370297","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.72,"370297","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.72,"370297","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.72,"370297","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.72,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"4 days ago"
10.110.10.72,"100309","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"4 days ago"
10.110.10.72,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.72,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.10.72,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.72,"370342","370342","5","Vuln","IBM WebSphere Application Server Buffer overflow IBM HTTP Server Vulnerability (swg21965419)",,,"4 days ago"
10.110.10.72,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.72,"91353","91353","5","Vuln","Microsoft .NET Framework Security Update April 2017",,,"4 days ago"
10.110.10.72,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.72,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.72,"91213","91213","4","Vuln","Microsoft Windows .NET Framework Information Disclosure Vulnerability (MS16-065)",,,"4 days ago"
10.110.10.72,"124213","124213","5","Vuln","IBM WebSphere Application Server Java UnSerialize Common-Collections Remote Code Execution Vulnerability (swg21970575)",,,"4 days ago"
10.110.10.72,"91107","91107","4","Vuln","Microsoft Schannel Spoofing Vulnerability (MS15-121)",,,"4 days ago"
10.110.10.72,"370159","370159","4","Vuln","IBM WebSphere Application Server Code Execution Vulnerability (swg21990060)",,,"4 days ago"
10.110.10.72,"124147","124147","3","Vuln","IBM WebSphere Application Server Multiple Vulnerabilities (swg21697368)",,,"4 days ago"
10.110.10.72,"86018","86018","3","Vuln","IBM WebSphere Application Server Java SDK Multiple Vulnerabilities (April 2015 CPU)",,,"4 days ago"
10.110.10.72,"90834","90834","4","Vuln","Microsoft SQL Server Elevation of Privilege Vulnerability (MS12-070)",,,"4 days ago"
10.110.10.72,"86129","86129","4","Vuln","IBM WebSphere Application Server Multiple Vulnerabilities (swg21697368)",,,"4 days ago"
10.241.16.32,"91331","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.241.16.32,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.241.16.32,"91331","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.241.16.32,"91170","91036","4","Vuln","Microsoft Improperly Issued Digital Certificates Spoofing Vulnerability (KB3046310)",,,"4 days ago"
10.241.16.32,"91170","91170","3","Vuln","Microsoft Improperly Issued Digital Certificates Spoofing Vulnerability (KB3097966)",,,"4 days ago"
10.241.16.32,"91170","91037","3","Vuln","Microsoft Improperly Issued Digital Certificates Spoofing Vulnerability (KB3050995)",,,"4 days ago"
10.241.16.32,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.241.16.32,"91355","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.241.16.32,"91355","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.241.16.32,"91085","90912","5","Vuln","Microsoft .NET Framework Code Execution and Denial of Service Vulnerabilities (MS13-082)",,,"4 days ago"
10.241.16.32,"91085","91085","5","Vuln","Microsoft Graphics Component Remote Code Execution Vulnerability (MS15-080)",,,"4 days ago"
10.241.16.32,"91085","91056","4","Vuln","Microsoft Font Drivers Remote Code Execution Vulnerabilities (MS15-044)",,,"4 days ago"
10.241.16.32,"91338","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.241.16.32,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.241.16.32,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.241.16.32,"91353","91353","5","Vuln","Microsoft .NET Framework Security Update April 2017",,,"4 days ago"
10.241.16.32,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.241.16.32,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.241.16.32,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.241.16.32,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.241.16.32,"91141","91141","3","Vuln","Microsoft Improperly Issued Digital Certificates Spoofing Vulnerability (KB3123040)",,,"4 days ago"
10.241.16.32,"90805","90805","5","Vuln","Microsoft Windows Unauthorized Digital Certificates Spoofing Vulnerability (KB2718704)",,,"4 days ago"
10.241.16.32,"90755","90755","4","Vuln","Microsoft Fraudulent Digital Certificates Spoofing Vulnerability (KB2641690)",,,"4 days ago"
10.241.16.32,"100109","100109","4","Vuln","Microsoft Fraudulent Digital Certificates Spoofing Vulnerability (2616676)",,,"4 days ago"
10.241.16.32,"91180","90912","5","Vuln","Microsoft .NET Framework Code Execution and Denial of Service Vulnerabilities (MS13-082)",,,"4 days ago"
10.241.16.32,"90916","90916","4","Vuln","Microsoft Windows Update for Deprecation of MD5 Hashing Algorithm (KB2862973)",,,"4 days ago"
10.241.16.32,"115185","115185","3","Vuln","VMware vCenter Converter Standalone Command Injection Vulnerability (VMSA-2014-0010) (Shellshock)",,,"4 days ago"
10.241.16.32,"105489","105489","5","Vuln","Microsoft Sync Framework Service Pack 1 Not Installed",,,"4 days ago"
10.241.16.32,"100309","91284","4","Vuln","Microsoft Security Update for Microsoft Internet Messaging API (MS16-126)",,,"4 days ago"
10.110.10.18,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.18,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.18,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.18,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.18,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.10.18,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.18,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.18,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"4 days ago"
10.110.10.18,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.10.18,"91333","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"4 days ago"
10.110.10.18,"91315","91315","4","Vuln","Microsoft Windows Common Log File System Driver Information Disclosure Vulnerability (MS16-153)",,,"4 days ago"
10.110.10.18,"91312","91312","5","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS16-146)",,,"4 days ago"
10.110.10.18,"19983","19983","4","Vuln","Microsoft SQL Server Remote Code Execution Vulnerability (MS15-058)",,,"4 days ago"
10.110.10.18,"91311","91311","5","Vuln","Windows Uniscribe Remote Code Execution Vulnerability (MS16-147)",,,"4 days ago"
10.110.10.18,"91314","91314","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS16-151)",,,"4 days ago"
10.110.10.18,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.18,"91319","91319","4","Vuln","Microsoft Cumulative Security Update for Windows (MS16-149)",,,"4 days ago"
10.110.10.18,"100302","100302","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS16-144)",,,"4 days ago"
10.110.10.18,"91085","91085","5","Vuln","Microsoft Graphics Component Remote Code Execution Vulnerability (MS15-080)",,,"4 days ago"
10.110.10.70,"100309","100309","5","Vuln","Microsoft Internet Explorer Security Update for April 2017",,,"4 days ago"
10.110.10.70,"100309","91333","5","Vuln","Microsoft Cumulative Security Update for Internet Explorer (MS17-006)",,,"4 days ago"
10.110.10.70,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.70,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.70,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
10.110.10.70,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.70,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.70,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.70,"91353","91353","5","Vuln","Microsoft .NET Framework Security Update April 2017",,,"4 days ago"
10.110.10.70,"370342","370342","5","Vuln","IBM WebSphere Application Server Buffer overflow IBM HTTP Server Vulnerability (swg21965419)",,,"4 days ago"
10.110.10.70,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.70,"90973","90834","4","Vuln","Microsoft SQL Server Elevation of Privilege Vulnerability (MS12-070)",,,"4 days ago"
10.110.10.70,"86129","86129","4","Vuln","IBM WebSphere Application Server Multiple Vulnerabilities (swg21697368)",,,"4 days ago"
10.110.10.70,"124147","124147","3","Vuln","IBM WebSphere Application Server Multiple Vulnerabilities (swg21697368)",,,"4 days ago"
10.110.10.70,"91107","91107","4","Vuln","Microsoft Schannel Spoofing Vulnerability (MS15-121)",,,"4 days ago"
10.110.10.70,"124213","124213","5","Vuln","IBM WebSphere Application Server Java UnSerialize Common-Collections Remote Code Execution Vulnerability (swg21970575)",,,"4 days ago"
10.110.10.70,"91331","91331","4","Vuln","Microsoft Windows Graphics Component Multiple Vulnerabilites (MS17-013)",,,"4 days ago"
10.110.10.70,"370159","370159","4","Vuln","IBM WebSphere Application Server Code Execution Vulnerability (swg21990060)",,,"4 days ago"
10.110.10.70,"91213","91213","4","Vuln","Microsoft Windows .NET Framework Information Disclosure Vulnerability (MS16-065)",,,"4 days ago"
10.110.10.70,"86018","86018","3","Vuln","IBM WebSphere Application Server Java SDK Multiple Vulnerabilities (April 2015 CPU)",,,"4 days ago"
10.110.10.183,"91085","91085","5","Vuln","Microsoft Graphics Component Remote Code Execution Vulnerability (MS15-080)",,,"4 days ago"
10.110.10.183,"91085","91056","4","Vuln","Microsoft Font Drivers Remote Code Execution Vulnerabilities (MS15-044)",,,"4 days ago"
10.110.10.183,"91340","91340","4","Vuln","Microsoft Windows DirectShow Information Disclosure Vulnerability (MS17-021)",,,"4 days ago"
10.110.10.183,"91344","91344","4","Vuln","Microsoft XML Core Services Information Disclosure Vulnerability (MS17-022)",,,"4 days ago"
10.110.10.183,"91338","91338","4","Vuln","Microsoft Uniscribe Multiple Remote Code Execution and Information Disclosure Vulnerabilities (MS17-011)",,,"4 days ago"
10.110.10.183,"91346","91346","4","Vuln","Microsoft Windows Kernel Elevation of Privileges (MS17-017)",,,"4 days ago"
10.110.10.183,"370297","370297","5","Vuln","Microsoft Cumulative Security Update for Windows (MS17-012)",,,"4 days ago"
10.110.10.183,"91345","91345","5","Vuln","Microsoft SMB Server Remote Code Execution Vulnerability (MS17-010) and Shadow Brokers",,,"4 days ago"
10.110.10.183,"91355","91355","5","Vuln","Microsoft Windows Security Update April 2017",,,"4 days ago"
10.110.10.183,"91353","91353","5","Vuln","Microsoft .NET Framework Security Update April 2017",,,"4 days ago"
10.110.10.183,"91342","91342","4","Vuln","Microsoft Security Update for Windows Kernel-Mode Drivers (MS17-018)",,,"4 days ago"
